City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,sechura,-5.5569,-80.8222,301.14,65,30,6.64,PE,1681865624
253,ambagarh chauki,20.7833,80.7167,302.5,22,59,0.85,IN,1681865624
254,areia branca,-4.9561,-37.1369,299.7,83,100,3.9,BR,1681865477
255,ust-tsilma,65.441,52.1498,273.2,83,100,2.25,RU,1681865625
256,alyangula,-13.8483,136.4192,302.1,64,82,3.73,AU,1681865625
257,guangyuan,32.442,105.823,297.32,77,100,1.04,CN,1681865625
258,fethiye,36.6217,29.1164,284.08,78,0,1.56,TR,1681865626
259,ambilobe,-13.2,49.05,295.43,93,14,1.32,MG,1681865626
260,ndele,8.4109,20.6473,299.29,59,22,2.95,CF,1681865626
261,yhu,-25.05,-55.9167,288.41,65,3,1.63,PY,1681865626
262,souillac,-20.5167,57.5167,299.36,78,40,4.12,MU,1681865627
263,laguna,38.421,-121.4238,290.31,35,0,4.63,US,1681865627
264,isilkul,54.9109,71.2728,268.68,42,0,1.04,RU,1681865627
265,ojinaga,29.5667,-104.4167,305.05,13,0,1.54,MX,1681865627
266,tobermory,45.2501,-81.6665,273.73,66,63,10.47,CA,1681865627
267,college,64.8569,-147.8028,272.63,56,75,5.66,US,1681865628
268,mayo,38.8876,-76.5119,290.64,43,0,3.6,US,1681865628
269,mount pleasant,32.7941,-79.8626,292.04,62,0,0.45,US,1681865569
270,honiara,-9.4333,159.95,303.23,60,11,1.89,SB,1681865628
271,hambantota,6.1241,81.1185,298.34,100,40,0.0,LK,1681865628
272,manpur,22.4333,75.6167,296.09,26,44,2.43,IN,1681865629
273,kununurra,-15.7667,128.7333,299.14,44,5,3.6,AU,1681865629
274,yarovoye,52.9273,78.58,266.23,54,0,4.19,RU,1681865629
275,berlevag,70.8578,29.0864,279.04,81,100,9.26,NO,1681865630
276,agadir,30.4202,-9.5982,291.4,86,71,1.13,MA,1681865532
277,dali,25.7,100.1833,292.57,40,0,1.37,CN,1681865630
278,sabha,27.0377,14.4283,291.66,38,0,4.54,LY,1681865630
279,kombissiri,12.0656,-1.3375,303.14,28,100,4.28,BF,1681865631
280,maniitsoq,65.4167,-52.9,269.3,82,100,6.35,GL,1681865631
281,baruun-urt,46.6806,113.2792,285.69,28,100,8.06,MN,1681865631
282,divo,5.8397,-5.36,296.96,97,92,1.03,CI,1681865632
283,high prairie,55.4334,-116.4858,282.45,36,100,3.7,CA,1681865632
284,vila velha,-20.3297,-40.2925,300.12,87,0,5.14,BR,1681865633
285,itarema,-2.9248,-39.9167,298.46,86,100,2.82,BR,1681865633
286,limbang,4.75,115.0,303.21,82,7,0.8,MY,1681865633
287,vaitape,-16.5167,-151.75,301.63,75,18,5.76,PF,1681865633
288,podgorodnyaya pokrovka,51.8281,54.9874,274.22,55,100,1.4,RU,1681865634
289,krasnovishersk,60.4078,57.082,268.39,92,17,1.11,RU,1681865634
290,butterworth,5.3991,100.3638,302.17,94,20,1.54,MY,1681865634
291,macapa,0.0389,-51.0664,297.14,100,75,2.06,BR,1681865634
292,touros,-5.1989,-35.4608,299.02,85,27,2.89,BR,1681865414
293,lebu,-37.6167,-73.65,286.38,89,100,0.69,CL,1681865635
294,charters towers,-20.1,146.2667,300.27,49,0,3.63,AU,1681865635
295,tutoia,-2.7619,-42.2744,299.21,86,100,3.57,BR,1681865636
296,keti bandar,24.1447,67.4497,299.78,70,79,6.61,PK,1681865636
297,lasem,-6.6922,111.4527,300.24,77,74,2.4,ID,1681865636
298,nyurba,63.2842,118.3319,267.42,86,73,2.49,RU,1681865636
299,sao filipe,14.8961,-24.4956,296.52,77,100,2.54,CV,1681865636
300,cidreira,-30.1811,-50.2056,291.4,60,50,4.78,BR,1681865637
301,manaure,11.7751,-72.4445,300.74,63,9,6.3,CO,1681865637
302,najran,17.4924,44.1277,294.51,43,3,2.8,SA,1681865637
303,pitimbu,-7.4706,-34.8086,299.48,81,100,2.18,BR,1681865638
304,townsville,-19.25,146.8,301.64,61,40,7.2,AU,1681865638
305,zhaotong,27.3167,103.7167,291.54,60,48,1.05,CN,1681865638
306,dajal,29.5577,70.3762,298.62,46,30,2.68,PK,1681865638
307,udachnyy,66.4167,112.4,267.29,62,57,5.06,RU,1681865640
308,garowe,8.4054,48.4845,296.46,76,5,3.7,SO,1681865640
309,cap malheureux,-19.9842,57.6142,298.97,78,15,1.79,MU,1681865641
310,tommot,58.9564,126.2925,270.48,75,74,3.23,RU,1681865642
311,katsuura,35.1333,140.3,293.27,73,4,6.78,JP,1681865643
312,suez,29.9737,32.5263,298.06,26,97,4.05,EG,1681865643
313,rapid valley,44.0625,-103.1463,286.26,52,100,7.2,US,1681865643
314,reconquista,-29.15,-59.65,287.98,67,0,1.99,AR,1681865412
315,oussouye,12.485,-16.5469,299.25,66,96,5.31,SN,1681865644
316,flin flon,54.7682,-101.865,272.37,81,100,5.08,CA,1681865644
317,qasigiannguit,68.8193,-51.1922,269.29,97,100,2.1,GL,1681865645
318,talnakh,69.4865,88.3972,253.82,86,6,2.05,RU,1681865645
319,bagdarin,54.4333,113.6,269.87,77,100,2.09,RU,1681865645
320,bakchar,57.0186,82.0711,263.49,86,83,3.47,RU,1681865646
321,killarney,52.05,-9.5167,279.08,91,4,2.26,IE,1681865646
322,pundaguitan,6.3711,126.1689,300.86,76,6,1.19,PH,1681865646
323,bucerias,20.75,-105.3333,298.7,80,91,2.35,MX,1681865646
324,gat,31.61,34.7642,295.59,22,46,1.84,IL,1681865647
325,vao,-22.6667,167.4833,298.69,77,36,6.63,NC,1681865647
326,tautira,-17.7333,-149.15,301.29,76,100,6.63,PF,1681865648
327,xinyu,27.8043,114.9334,294.95,93,100,1.48,CN,1681865648
328,ponta delgada,37.7333,-25.6667,286.55,76,20,3.09,PT,1681865648
329,tadine,-21.55,167.8833,299.8,78,62,5.77,NC,1681865649
330,vanavara,60.34,102.2797,262.48,88,100,5.55,RU,1681865649
331,severobaykalsk,55.65,109.3167,268.19,55,100,4.71,RU,1681865650
332,clarence town,-32.5833,151.7833,296.56,47,35,1.49,AU,1681865650
333,yelizovo,53.1873,158.3805,277.23,75,75,6.0,RU,1681865650
334,baykit,61.67,96.37,264.98,92,100,1.77,RU,1681865650
335,ishigaki,24.3448,124.1572,299.22,89,75,7.2,JP,1681865651
336,matay,28.419,30.7792,297.23,34,30,3.25,EG,1681865651
337,constitucion,-35.3333,-72.4167,285.46,69,19,4.21,CL,1681865652
338,aiquile,-18.2041,-65.1807,287.55,91,6,2.08,BO,1681865652
339,bulgan,48.8125,103.5347,270.74,23,17,5.68,MN,1681865652
340,champerico,14.3,-91.9167,302.45,65,48,1.93,GT,1681865653
341,portland,45.5234,-122.6762,282.65,80,95,3.58,US,1681865412
342,luganville,-15.5333,167.1667,302.34,67,80,1.1,VU,1681865653
343,luderitz,-26.6481,15.1594,291.64,55,0,0.74,NA,1681865653
344,juneau,58.3019,-134.4197,282.15,57,20,4.12,US,1681865498
345,buraydah,26.326,43.975,292.4,66,88,2.0,SA,1681865554
346,guarapari,-20.6667,-40.4975,299.76,77,30,2.49,BR,1681865475
347,ilulissat,69.2167,-51.1,269.16,86,100,3.09,GL,1681865655
348,caravelas,-17.7125,-39.2481,299.34,84,5,4.72,BR,1681865655
349,nerchinskiy zavod,51.3088,119.61,276.89,37,100,2.03,RU,1681865655
350,pacifica,37.6138,-122.4869,288.27,57,20,5.14,US,1681865580
351,pisco,-13.7,-76.2167,295.38,78,18,10.29,PE,1681865656
352,bereda,43.2686,-7.5406,282.67,100,100,1.59,ES,1681865656
353,altamont,42.2068,-121.7372,278.65,47,100,8.23,US,1681865657
354,ulladulla,-35.35,150.4667,294.69,43,0,2.31,AU,1681865657
355,half moon bay,37.4636,-122.4286,288.72,51,0,5.14,US,1681865658
356,taksimo,56.3444,114.8794,270.56,65,100,0.5,RU,1681865658
357,nemuro,43.3236,145.575,277.75,80,100,1.15,JP,1681865658
358,diapaga,12.0708,1.7889,304.47,37,100,5.62,BF,1681865658
359,two hills,53.7169,-111.7518,286.35,30,56,5.14,CA,1681865659
360,kokopo,-4.352,152.2633,301.39,70,23,1.63,PG,1681865659
361,assiniboia,49.6334,-105.9845,280.05,53,100,7.72,CA,1681865453
362,coquimbo,-29.9533,-71.3436,288.0,77,0,0.0,CL,1681865660
363,sitka,57.0531,-135.33,282.09,61,0,2.06,US,1681865660
364,port blair,11.6667,92.75,302.76,73,100,1.83,IN,1681865660
365,chifeng,42.2683,118.9636,292.46,21,100,6.03,CN,1681865661
366,sambava,-14.2667,50.1667,297.28,89,20,3.41,MG,1681865661
367,mitsamiouli,-11.3847,43.2844,300.93,75,78,2.88,KM,1681865661
368,alofi,-19.0595,-169.9187,300.09,89,100,3.09,NU,1681865662
369,hodal,27.9,77.3667,300.62,35,5,4.39,IN,1681865662
370,florida,28.7505,-82.5001,294.68,67,0,0.0,US,1681865662
371,chengde,40.9725,117.9361,289.3,33,100,1.28,CN,1681865662
372,dzaoudzi,-12.7887,45.2699,302.09,74,100,4.12,YT,1681865663
373,rawlins,41.7911,-107.2387,278.09,60,20,12.35,US,1681865663
374,cravo norte,6.3017,-70.2041,301.98,58,100,2.12,CO,1681865663
375,balsas,-7.5325,-46.0356,297.83,81,100,1.82,BR,1681865472
376,winneba,5.3511,-0.6231,300.2,85,97,2.31,GH,1681865664
377,benicarlo,40.4165,0.4271,284.76,80,67,1.0,ES,1681865665
378,collie,-33.3667,116.15,287.53,59,0,3.41,AU,1681865665
379,raudeberg,61.9875,5.1352,279.74,74,93,3.84,NO,1681865666
380,opuwo,-18.0607,13.84,293.49,56,26,4.34,NA,1681865666
381,batagay,67.6333,134.6333,264.44,86,100,2.5,RU,1681865666
382,awjilah,29.1081,21.2869,289.22,55,100,6.91,LY,1681865667
383,guiyang,26.5833,106.7167,291.42,82,20,1.0,CN,1681865667
384,valdivia,-39.8142,-73.2459,285.2,99,100,0.69,CL,1681865667
385,tagusao,9.1924,117.8141,302.72,67,45,0.46,PH,1681865667
386,barra patuca,15.8,-84.2833,299.44,75,0,4.88,HN,1681865668
387,soyo,-6.1349,12.3689,299.46,82,37,3.4,AO,1681865668
388,madera,37.1666,-119.8343,289.04,46,100,4.61,US,1681865668
389,ulaanbaatar,47.9077,106.8832,271.22,74,40,7.0,MN,1681865668
390,canelones,-34.6444,-56.2886,287.31,57,13,6.16,UY,1681865669
391,cairns,-16.9167,145.7667,303.19,77,75,4.63,AU,1681865669
392,hami,42.8,93.45,281.22,22,100,11.14,CN,1681865669
393,upata,8.0086,-62.3989,298.81,68,75,2.65,VE,1681865669
394,faya,18.3851,42.4509,288.21,62,0,0.53,SA,1681865670
395,mount gambier,-37.8333,140.7667,288.11,49,55,4.37,AU,1681865670
396,kiunga,-6.1219,141.2906,298.99,84,93,1.17,PG,1681865670
397,kuzedeyevo,53.3308,87.2019,264.84,78,78,0.43,RU,1681865670
398,wukari,7.85,9.7833,302.3,56,100,2.88,NG,1681865671
399,salekhard,66.53,66.6019,260.66,87,16,3.58,RU,1681865671
400,preobrazheniye,42.9019,133.9064,282.55,63,78,2.85,RU,1681865671
401,cururupu,-1.8283,-44.8683,297.04,93,100,0.95,BR,1681865671
402,awbari,26.5921,12.7805,292.34,38,0,3.38,LY,1681865672
403,sloboda,51.1421,40.3021,279.24,65,100,3.95,RU,1681865672
404,careiro da varzea,-3.2003,-59.8119,298.49,95,100,1.53,BR,1681865672
405,kaeo,-35.1,173.7833,294.44,95,95,4.47,NZ,1681865672
406,frontera,26.9333,-101.45,303.33,38,96,1.79,MX,1681865673
407,saint anthony,45.0205,-93.218,285.11,35,75,6.17,US,1681865673
408,voh,-20.9667,164.7,299.43,75,61,2.53,NC,1681865674
409,moussoro,13.6408,16.4901,303.58,14,0,2.9,TD,1681865674
410,ureki,41.9956,41.7786,292.13,83,100,2.13,GE,1681865674
411,guaruja,-23.9931,-46.2564,295.31,26,100,1.74,BR,1681865674
412,djibo,14.1022,-1.6306,301.04,8,3,3.53,BF,1681865674
413,aleksandrovskoye,44.7142,43.0008,277.64,97,86,2.76,RU,1681865675
414,urucara,-2.5364,-57.76,297.18,97,100,1.35,BR,1681865675
415,hagi,34.4,131.4167,291.2,90,100,2.59,JP,1681865676
416,salalah,17.0151,54.0924,301.2,69,75,2.06,OM,1681865676
417,paratinga,-12.6906,-43.1842,300.59,51,74,1.27,BR,1681865595
418,am timan,11.0297,20.2827,304.54,30,100,0.93,TD,1681865677
419,bilibino,68.0546,166.4372,270.03,80,100,1.31,RU,1681865677
420,hay river,60.8156,-115.7999,277.14,65,75,4.63,CA,1681865677
421,ust-ilimsk,58.0006,102.6619,266.37,61,100,4.23,RU,1681865678
422,keskin,39.6731,33.6136,281.54,88,99,1.23,TR,1681865678
423,kozluk,38.1938,41.4885,284.29,59,86,1.7,TR,1681865678
424,marquette,46.5333,-87.6335,275.27,69,85,2.68,US,1681865678
425,braganca,-1.0536,-46.7656,296.33,98,100,1.03,BR,1681865679
426,nabire,-3.3667,135.4833,302.97,64,39,1.41,ID,1681865679
427,soe,-9.8607,124.284,294.55,83,94,1.86,ID,1681865679
428,panino,51.6467,40.1346,278.89,65,100,3.66,RU,1681865680
429,fukue,32.6881,128.8419,293.35,94,75,5.14,JP,1681865680
430,pilikwe,-22.799,27.1938,288.49,49,0,1.9,BW,1681865680
431,innisfail,-17.5333,146.0333,297.69,82,59,3.67,AU,1681865680
432,lerwick,60.1545,-1.1494,280.15,83,95,2.86,GB,1681865681
433,flinders,-34.5833,150.8552,299.29,60,1,1.79,AU,1681865681
434,necochea,-38.5473,-58.7368,286.6,68,100,6.37,AR,1681865681
435,ovalle,-30.5983,-71.2003,292.39,46,0,0.69,CL,1681865681
436,abomey,7.1829,1.9912,296.95,88,100,4.38,BJ,1681865681
437,meadow lake,34.8014,-106.5436,296.19,10,38,8.46,US,1681865682
438,quatre cocos,-20.2078,57.7625,299.21,78,33,6.14,MU,1681865682
439,wanparti,16.3667,78.0667,301.44,22,8,0.61,IN,1681865682
440,shitanjing,39.2342,106.3439,293.25,33,98,4.89,CN,1681865683
441,hervey bay,-25.2986,152.8535,298.16,69,14,6.78,AU,1681865683
442,adrar,20.5022,-10.0711,299.49,21,52,4.23,MR,1681865683
443,goderich,43.7501,-81.7165,276.43,75,100,7.2,CA,1681865683
